iata_code,latitude_deg,longitude_deg,iso_region
YMF,48.89225,-123.39215,CA-BC
PYS,39.71029,-121.616528,US-CA
YBW,48.75,-123.2330017,CA-BC
YTP,49.155,-125.91,CA-BC
CBA,49.8636,-119.568045,CA-BC
ZNA,49.169813,-123.933845,CA-BC
YZZ,49.055599,-117.609001,CA-BC
YMB,50.122504,-120.745368,CA-BC
YHH,50.049999,-125.25,CA-BC
YWS,50.14360046,-122.9489975,CA-BC
YBF,48.835967,-125.137453,CA-BC
YIG,50.3923,-125.1372,CA-BC
CJH,51.625797,-124.144478,CA-BC
YPT,49.623785,-124.024884,CA-BC
ZOF,52.36669922,-127.7170029,CA-BC
YCA,49.679237,-124.98064,CA-BC
CFQ,49.03689957,-116.4980011,CA-BC
YAA,52.451501,-125.303776,CA-BC
DGF,50.16546005,-120.1712734,CA-BC
JHL,57.22389984,-111.4189987,CA-AB
ZTS,49.92,-126.655,CA-BC
DUQ,48.754534,-123.709702,CA-BC
YHS,49.46060181,-123.7190018,CA-BC
YKK,53.79999924,-130.4329987,CA-BC
ZQS,53.25282,-132.074214,CA-BC
